"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
USA,105547760,1148391,103083830,1315539,2389,315251,3430,1168472344,3490006,334805269,North America
India,44689072,530776,44155119,3177,0,31770,377,919314929,653558,1406631776,Asia
France,39639112,165073,39413395,60644,869,604397,2517,271490188,4139547,65584518,Europe
Germany,38241231,168808,37823200,249223,0,455884,2012,122332384,1458359,83883596,Europe
Brazil,37085520,699310,36249161,137049,0,172208,3247,63776166,296146,215353593,South America
Japan,33298296,72989,21697743,11527564,124,265146,581,95996267,764394,125584838,Asia
S. Korea,30605187,34081,30395510,175596,143,596245,664,15804065,307892,51329899,Asia
Italy,25603510,188322,25267118,148070,137,424864,3125,268196399,4450449,60262770,Europe
UK,24396534,207695,24120105,68734,0,356165,3032,522526476,7628357,68497907,Europe
Russia,22388556,396463,21729768,262325,0,153550,2719,273400000,1875095,145805947,Europe
Turkey,17042722,101492,,,0,199186,1186,162743369,1902052,85561976,Asia
Spain,13770429,119479,13615878,35072,231,294749,2557,471036328,10082298,46719142,Europe
Vietnam,11526994,43186,10614807,869001,3,116489,436,85826548,867342,98953541,Asia
Australia,11385534,19459,11332576,33499,27,436750,746,78835048,3024116,26068792,Australia/Oceania
Taiwan,10143788,18371,9875952,249465,0,424629,769,30742304,1286903,23888595,Asia
Argentina,10044957,130472,9911664,2821,363,218320,2836,35716069,776264,46010234,South America
Netherlands,8600120,22992,8561362,15766,53,499674,1336,25984435,1509718,17211447,Europe
Iran,7572311,144933,7340087,87291,382,88027,1685,55353767,643478,86022837,Asia
Mexico,7479635,333170,6716617,429848,0,56852,2532,19642771,149303,131562772,North America
Indonesia,6738225,160941,6574177,3107,0,24140,577,114158919,408975,279134505,Asia
Poland,6444960,119010,5335940,990010,696,170774,3153,38345769,1016057,37739785,Europe
Colombia,6360780,142639,6184346,33795,342,123480,2769,36951507,717327,51512762,South America
Austria,5961143,21970,5884127,55046,72,657476,2423,211273524,23302116,9066710,Europe
Greece,5871458,36185,5824799,10474,115,569125,3507,102228365,9909078,10316637,Europe
Portugal,5570473,26266,5538659,5548,61,549325,2590,45994869,4535728,10140570,Europe
Ukraine,5399231,111298,5270797,17136,0,125005,2577,32603805,754855,43192122,Europe
Chile,5192286,64273,5119229,8784,84,269726,3339,48573326,2523264,19250195,South America
Malaysia,5044718,36967,4998455,9296,5,152036,1114,68286795,2058004,33181072,Asia
Israel,4803833,12329,4781252,10252,57,515101,1322,41373364,4436346,9326000,Asia
Thailand,4728182,33918,4692636,1628,0,67470,484,17270775,246450,70078203,Asia
Belgium,4727795,33775,4664797,29223,43,405184,2895,36752058,3149741,11668278,Europe
Czechia,4618256,42491,4565267,10498,48,430134,3958,57037294,5312326,10736784,Europe
Canada,4600615,51447,4512398,36770,99,119844,1340,66343123,1728207,38388419,North America
Peru,4487266,219538,4265634,2094,34,133216,6518,38111809,1131444,33684208,South America
Switzerland,4392464,14452,4373995,4017,39,500643,1647,23833472,2716487,8773637,Europe
Philippines,4077452,66188,4002247,9017,162,36241,588,34667870,308134,112508994,Asia
South Africa,4067067,102595,3912506,51966,192,66941,1689,26795090,441027,60756135,Africa
Romania,3346046,67736,3267395,10915,119,175818,3559,26750616,1405609,19031335,Europe
Denmark,3175822,8296,3166615,911,19,544276,1422,129207898,22143788,5834950,Europe
Hong Kong,2883851,13467,2863814,6570,28,379240,1771,76127725,10011143,7604299,Asia
Sweden,2699339,23749,2672273,3317,8,264150,2324,19477620,1906026,10218971,Europe
Serbia,2500142,17881,2466980,15281,8,288933,2066,12467638,1440843,8653016,Europe
Iraq,2465545,25375,2439497,673,21,58474,602,19544451,463523,42164965,Asia
Singapore,2230570,1722,2149583,79265,1,375293,290,24756666,4165302,5943546,Asia
New Zealand,2228291,3922,2214316,10053,0,454920,801,7768604,1586011,4898203,Australia/Oceania
Hungary,2196804,48762,2143788,4254,14,228685,5076,11394556,1186160,9606259,Europe
Bangladesh,2037871,29445,1998448,9978,0,12138,175,15254399,90862,167885689,Asia
Slovakia,1863865,21035,1841462,1368,25,341355,3852,7408131,1356753,5460193,Europe
Georgia,1827537,16971,1776548,34018,0,460483,4276,16920079,4263340,3968738,Asia
Jordan,1746997,14122,1731007,1868,59,169597,1371,17201885,1669945,10300869,Asia
Ireland,1704502,8708,1693155,2639,8,339529,1735,13040649,2597636,5020199,Europe
Pakistan,1577339,30644,1538689,8006,9,6873,134,30570862,133213,229488994,Asia
Norway,1479506,5213,1473506,787,20,268446,946,11002430,1996315,5511370,Europe
Finland,1463644,8967,1452510,2167,21,263484,1614,12057338,2170554,5554960,Europe
Kazakhstan,1408124,13846,1383020,11258,24,73321,721,11575012,602707,19205043,Asia
Slovenia,1331707,7077,1319340,5290,4,640849,3406,2840789,1367056,2078034,Europe
Lithuania,1307448,9596,1291795,6057,6,491206,3605,10387153,3902439,2661708,Europe
Bulgaria,1297523,38228,1256281,3014,27,189569,5585,11074571,1618002,6844597,Europe
Morocco,1272490,16296,1256151,43,3,33688,431,12992640,343969,37772756,Africa
Croatia,1269326,17987,1250890,449,5,312697,4431,5521987,1360335,4059286,Europe
Guatemala,1238049,20182,1216847,1020,5,66619,1086,6971176,375116,18584039,North America
Lebanon,1232828,10841,1087587,134400,74,184421,1622,4795578,717380,6684849,Asia
Costa Rica,1209725,9245,860711,339769,52,233432,1784,4659757,899158,5182354,North America
Bolivia,1194277,22365,1160475,11437,220,99584,1865,2705422,225590,11992656,South America
Tunisia,1151126,29341,,,44,95556,2436,5003083,415309,12046656,Africa
Cuba,1112643,8530,1104033,80,2,98415,754,14321589,1266764,11305652,North America
Ecuador,1057121,36014,1020564,543,759,58361,1988,3082403,170173,18113361,South America
UAE,1053213,2349,1035930,14934,0,104467,233,199406137,19778852,10081785,Asia
Uruguay,1034303,7617,1026186,500,18,295852,2179,6114822,1749083,3496016,South America
Panama,1031731,8609,1022524,598,16,232008,1936,7548346,1697416,4446964,North America
Mongolia,1007900,2179,1005717,4,192,298365,645,4030048,1193000,3378078,Asia
Nepal,1001154,12020,989128,6,0,33123,398,6014737,198995,30225582,Asia
Belarus,994037,7118,985592,1327,0,105381,755,13646641,1446722,9432800,Europe
Latvia,976228,6250,969623,355,13,528023,3381,7866206,4254678,1848837,Europe
Saudi Arabia,830127,9618,817212,3297,38,23159,268,45175083,1260293,35844909,Asia
Azerbaijan,828825,10138,818497,190,0,80467,984,7537871,731818,10300205,Asia
Paraguay,808401,19878,,,7,110651,2721,2657506,363751,7305843,South America
Bahrain,710693,1553,706332,2808,1,398374,871,10751071,6026443,1783983,Asia
Sri Lanka,672039,16830,655203,6,0,31148,780,6486117,300619,21575842,Asia
Kuwait,663860,2570,660237,1053,0,151555,587,8455743,1930391,4380326,Asia
Dominican Republic,660790,4384,644785,11621,4,59766,397,3740928,338350,11056370,North America
Cyprus,650685,1330,644185,5170,60,531872,1087,9640118,7879860,1223387,Asia
Myanmar,633950,19490,614426,34,0,11479,353,10087876,182662,55227143,Asia
Palestine,621008,5404,615445,159,17,116173,1011,3078533,575907,5345541,Asia
Estonia,615423,2946,524990,87487,5,465556,2229,3679061,2783140,1321910,Europe
Moldova,611140,12003,504142,94995,49,152284,2991,3216305,801437,4013171,Europe
Venezuela,552162,5854,545941,367,31,18866,200,3359014,114771,29266991,South America
Egypt,515759,24613,442182,48964,122,4858,232,3693367,34792,106156692,Africa
Libya,507187,6437,500737,13,0,72036,914,2483812,352777,7040745,Africa
China,503302,5272,379053,118977,0,347,4,160000000,110461,1448471400,Asia
Ethiopia,500116,7572,487351,5193,1,4140,63,5497920,45508,120812698,Africa
Qatar,495090,688,493884,518,38,166142,231,4065369,1364257,2979915,Asia
Réunion,486588,921,418572,67095,10,535854,1014,1603660,1766027,908061,Africa
Honduras,472250,11111,,,105,46203,1087,1635967,160056,10221247,North America
Armenia,447308,8727,435162,3419,0,150509,2936,3242901,1091164,2971966,Asia
Bosnia and Herzegovina,401729,16280,379084,6365,0,123635,5010,1884721,580036,3249317,Europe
Oman,399449,4628,384669,10152,2,75028,869,25000000,4695724,5323993,Asia
North Macedonia,346852,9662,337068,122,0,166651,4642,2226216,1069626,2081304,Europe
Zambia,343135,4057,338854,224,0,17624,208,3943335,202531,19470234,Africa
Kenya,342937,5688,337222,27,1,6100,101,3967062,70569,56215221,Africa
Albania,334457,3598,329195,1664,0,116683,1255,1941032,677173,2866374,Europe
Botswana,329758,2801,326916,41,1,135082,1147,2026898,830300,2441162,Africa
Luxembourg,297757,1133,288991,7633,0,463528,1764,4412567,6869188,642371,Europe
Montenegro,288808,2808,285354,646,6,459922,4472,2723175,4336611,627950,Europe
Brunei ,279661,225,243601,35835,3,627844,505,717784,1611437,445431,Asia
Algeria,271496,6881,182813,81802,0,5987,152,230861,5091,45350148,Africa
Nigeria,266598,3155,259917,3526,11,1230,15,5708974,26339,216746934,Africa
Zimbabwe,264276,5671,258184,421,12,17238,370,2525756,164744,15331428,Africa
Uzbekistan,251247,1637,241486,8124,23,7307,48,1377915,40077,34382084,Asia
Mozambique,233214,2242,228805,2167,11,7048,68,1371127,41437,33089461,Africa
Martinique,229807,1098,,,12,614314,2935,828928,2215870,374087,North America
Laos,218023,758,,,0,29143,101,1233207,164845,7481023,Asia
Afghanistan,209451,7896,191272,10283,45,5139,194,1203807,29538,40754388,Asia
Iceland,209137,229,,,2,605504,663,1996384,5780036,345393,Europe
Kyrgyzstan,206708,2991,196406,7311,131,30722,445,1907195,283460,6728271,Asia
Guadeloupe,201886,1010,,,19,504975,2526,938039,2346306,399794,North America
El Salvador,201785,4230,179410,18145,8,30805,646,2610114,398467,6550389,North America
Trinidad and Tobago,189918,4355,185101,462,8,135021,3096,900861,640460,1406585,North America
Maldives,185738,311,163687,21740,25,343333,575,2213831,4092223,540985,Asia
Ghana,171229,1462,169726,41,2,5286,45,2531089,78131,32395450,Africa
Namibia,171156,4090,166776,290,0,64983,1553,1062663,403460,2633874,Africa
Uganda,170544,3630,100431,66483,3,3521,75,3012408,62198,48432863,Africa
Jamaica,154416,3514,102529,48373,0,51729,1177,1183986,396633,2985094,North America
Cambodia,138719,3056,135660,3,0,8080,178,3091420,180062,17168639,Asia
Rwanda,133194,1468,131647,79,0,9793,108,6021981,442778,13600464,Africa
Cameroon,124392,1965,122344,83,13,4457,70,1751774,62762,27911548,Africa
Malta,117610,828,116117,665,4,264868,1865,2119315,4772877,444033,Europe
Barbados,106798,579,106211,8,0,370797,2010,794426,2758203,288023,North America
Angola,105288,1933,103342,13,0,3006,55,1499795,42818,35027343,Africa
Channel Islands,101449,227,101091,131,0,574902,1286,1252808,7099551,176463,Europe
French Guiana,98041,420,11254,86367,6,312065,1337,651257,2072951,314169,South America
DRC,95749,1464,84321,9964,0,1005,15,846704,8890,95240792,Africa
Senegal,88926,1971,86947,8,0,5037,112,1146543,64946,17653671,Africa
Malawi,88707,2686,85583,438,67,4396,133,624784,30959,20180839,Africa
Ivory Coast,88263,834,87411,18,0,3182,30,1681366,60607,27742298,Africa
Suriname,82467,1404,,,0,138175,2352,241357,404398,596831,South America
New Caledonia,79881,314,79558,9,9,274585,1079,98964,340182,290915,Australia/Oceania
Eswatini,74267,1425,72795,47,0,62682,1203,1048704,885119,1184817,Africa
Guyana,73075,1298,71756,21,0,92029,1635,722237,909567,794045,South America
Belize,70757,688,70056,13,6,171661,1669,576016,1397453,412190,North America
Fiji,68898,883,67006,1009,0,75757,971,669148,735759,909466,Australia/Oceania
Madagascar,67889,1423,66445,21,0,2327,49,526651,18050,29178077,Africa
Sudan,63829,5017,58492,320,0,1388,109,562941,12240,45992020,Africa
Mauritania,63668,997,62441,230,0,12988,203,1009957,206030,4901981,Africa
Cabo Verde,63244,413,62773,58,23,111408,728,401622,707482,567678,Africa
Bhutan,62627,21,61564,1042,0,79482,27,2303734,2923739,787941,Asia
Syria,57467,3164,54303,0,0,2968,163,146269,7553,19364809,Asia
Burundi,53631,38,53569,24,0,4248,3,345742,27386,12624840,Africa
Gabon,48981,306,48674,1,0,21008,131,1621909,695641,2331533,Africa
Andorra,47890,165,47563,162,14,618231,2130,249838,3225256,77463,Europe
Papua New Guinea,46825,670,43982,2173,7,5039,72,249149,26813,9292169,Australia/Oceania
Curaçao,45986,295,44720,971,3,277812,1782,496693,3000640,165529,North America
Aruba,44044,236,42438,1370,2,409297,2193,177885,1653068,107609,North America
Mayotte,42004,188,,,0,146734,657,176919,618038,286259,Africa
Mauritius,41752,1043,40030,679,0,32754,818,358675,281374,1274727,Africa
Togo,39396,290,39081,25,0,4538,33,808684,93157,8680837,Africa
Guinea,38267,467,37757,43,8,2760,34,660107,47607,13865691,Africa
Isle of Man,38008,116,,,0,443335,1353,150753,1758422,85732,Europe
Bahamas,37491,833,36366,292,1,93607,2080,257839,643767,400516,North America
Lesotho,34790,723,25980,8087,0,15990,332,431221,198199,2175699,Africa
Faeroe Islands,34658,28,,,5,703959,569,778000,15802409,49233,Europe
Haiti,34202,860,33052,290,0,2928,74,132422,11337,11680283,North America
Mali,33062,743,32199,120,0,1540,35,797273,37128,21473764,Africa
Cayman Islands,31472,37,8553,22882,1,467797,550,222773,3311280,67277,North America
Saint Lucia,30004,409,29095,500,0,162085,2209,210983,1139752,185113,North America
Benin,27999,163,27830,6,0,2190,13,604310,47268,12784726,Africa
Somalia,27324,1361,13182,12781,0,1622,81,400466,23778,16841795,Africa
Congo,25375,386,24006,983,0,4377,67,347815,59991,5797805,Africa
Micronesia,23948,61,,,1,203832,519,54967,467848,117489,Australia/Oceania
San Marino,23616,122,23471,23,4,692856,3579,157634,4624732,34085,Europe
Timor-Leste,23419,138,23102,179,0,17101,101,278529,203391,1369429,Asia
Burkina Faso,22056,396,21596,64,0,998,18,248995,11265,22102838,Africa
Liechtenstein,21431,89,21324,18,4,558288,2318,112457,2929559,38387,Europe
Gibraltar,20433,111,16579,3743,0,606249,3293,534283,15852213,33704,Europe
Grenada,19680,238,19358,84,4,173430,2097,182981,1612523,113475,North America
Bermuda,18828,160,18653,15,0,303976,2583,1028312,16602012,61939,North America
South Sudan,18368,138,18115,115,1,1581,12,410280,35313,11618511,Africa
Equatorial Guinea,17229,183,16907,139,5,11512,122,365697,244342,1496662,Africa
Tonga,16810,13,15638,1159,0,156011,121,535009,4965327,107749,Australia/Oceania
Samoa,16607,29,1605,14973,0,82116,143,187397,926612,202239,Australia/Oceania
Monaco,16119,67,15992,60,4,405173,1684,78646,1976875,39783,Europe
Dominica,15760,74,15673,13,0,217848,1023,229344,3170187,72344,North America
Djibouti,15690,189,15427,74,0,15441,186,305941,301094,1016097,Africa
CAR,15368,113,15200,55,2,3063,23,81294,16205,5016678,Africa
Gambia,12598,372,12189,37,0,4924,145,155686,60851,2558482,Africa
Saint Martin,12271,63,1399,10809,7,308860,1586,112382,2828643,39730,North America
Vanuatu,12014,14,11976,24,0,37330,44,24976,77606,321832,Australia/Oceania
Greenland,11971,21,2761,9189,4,210117,369,164926,2894810,56973,North America
Yemen,11945,2159,9124,662,23,383,69,329592,10579,31154867,Asia
Caribbean Netherlands,11679,38,10476,1165,0,438286,1426,30126,1130559,26647,North America
Sint Maarten,11020,91,10905,24,0,250648,2070,62056,1411454,43966,North America
Eritrea,10189,103,10086,0,0,2782,28,23693,6470,3662244,Africa
Niger,9931,312,8890,729,1,381,12,254538,9759,26083660,Africa
St. Vincent Grenadines,9589,123,9466,0,0,85961,1103,113703,1019292,111551,North America
Antigua and Barbuda,9106,146,8954,6,1,91509,1467,18901,189943,99509,North America
Guinea-Bissau,8960,176,8660,124,6,4342,85,145231,70385,2063367,Africa
Liberia,8090,295,7783,12,2,1525,56,139824,26356,5305117,Africa
Sierra Leone,7760,126,,,0,934,15,259958,31296,8306436,Africa
Chad,7679,194,4874,2611,0,441,11,191341,10988,17413580,Africa
British Virgin Islands,7305,64,,,0,238757,2092,107339,3508269,30596,North America
Cook Islands,7031,2,7027,2,0,400148,114,19690,1120596,17571,Australia/Oceania
Saint Kitts and Nevis,6597,47,6548,2,0,122459,872,126932,2356221,53871,North America
Turks and Caicos,6561,38,6504,19,4,165094,956,612335,15408143,39741,North America
Sao Tome and Principe,6281,77,6204,0,0,27587,338,29036,127530,227679,Africa
Palau,5991,9,5976,6,0,328580,494,69136,3791806,18233,Australia/Oceania
St. Barth,5441,6,,,0,547109,603,78646,7908095,9945,North America
Nauru,5247,1,5075,171,0,481244,92,20509,1881042,10903,Australia/Oceania
Anguilla,3904,12,3879,13,4,256336,788,51382,3373736,15230,North America
Macao,3514,121,3392,1,0,5264,181,7850,11760,667490,Asia
Saint Pierre Miquelon,3452,2,2449,1001,1,599410,347,25400,4410488,5759,North America
Wallis and Futuna,3427,7,438,2982,0,312056,637,20508,1867419,10982,Australia/Oceania
