#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,USA,"105,547,760","+8,964","1,148,391                                ",+129,"103,083,830","+29,831","1,315,539","2,389","315,251","3,430","1,168,472,344","3,490,006","334,805,269 ",North America
2,India,"44,689,072",,"530,776                                ",,"44,155,119",,"3,177",N/A,"31,770",377,"919,314,929","653,558","1,406,631,776 ",Asia
3,France,"39,639,112",,"165,073                                ",,"39,413,395","+4,021","60,644",869,"604,397","2,517","271,490,188","4,139,547","65,584,518 ",Europe
4,Germany,"38,241,231",,"168,808                                ",,"37,823,200","+16,700","249,223",N/A,"455,884","2,012","122,332,384","1,458,359","83,883,596 ",Europe
5,Brazil,"37,085,520",,"699,310                                ",,"36,249,161",,"137,049",N/A,"172,208","3,247","63,776,166","296,146","215,353,593 ",South America
6,Japan,"33,298,296","+9,834","72,989                                ",+80,"21,697,743","+1,491","11,527,564",124,"265,146",581,"95,996,267","764,394","125,584,838 ",Asia
7,S. Korea,"30,605,187","+10,890","34,081                                ",+20,"30,395,510","+10,262","175,596",143,"596,245",664,"15,804,065","307,892","51,329,899 ",Asia
8,Italy,"25,603,510",,"188,322                                ",,"25,267,118",,"148,070",137,"424,864","3,125","268,196,399","4,450,449","60,262,770 ",Europe
9,UK,"24,396,534",,"207,695                                ",,"24,120,105","+6,559","68,734",N/A,"356,165","3,032","522,526,476","7,628,357","68,497,907 ",Europe
10,Russia,"22,388,556","+12,496","396,463                                ",+40,"21,729,768","+12,536","262,325",N/A,"153,550","2,719","273,400,000","1,875,095","145,805,947 ",Europe
11,Turkey,"17,042,722",,"101,492                                ",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976 ",Asia
12,Spain,"13,770,429",,"119,479                                ",,"13,615,878",,"35,072",231,"294,749","2,557","471,036,328","10,082,298","46,719,142 ",Europe
13,Vietnam,"11,526,994",,"43,186                                ",,"10,614,807",,"869,001",3,"116,489",436,"85,826,548","867,342","98,953,541 ",Asia
14,Australia,"11,385,534",,"19,459                                ",,"11,332,576",,"33,499",27,"436,750",746,"78,835,048","3,024,116","26,068,792 ",Australia/Oceania
15,Taiwan,"10,143,788","+9,584","18,371                                ",+49,"9,875,952","+15,391","249,465",,"424,629",769,"30,742,304","1,286,903","23,888,595 ",Asia
16,Argentina,"10,044,957",,"130,472                                ",,"9,911,664",,"2,821",363,"218,320","2,836","35,716,069","776,264","46,010,234 ",South America
17,Netherlands,"8,600,120",,"22,992                                ",,"8,561,362",+252,"15,766",53,"499,674","1,336","25,984,435","1,509,718","17,211,447 ",Europe
18,Iran,"7,572,311",+315,"144,933                                ",+11,"7,340,087",+124,"87,291",382,"88,027","1,685","55,353,767","643,478","86,022,837 ",Asia
19,Mexico,"7,479,635","+4,416","333,170                                ",+34,"6,716,617","+2,982","429,848",N/A,"56,852","2,532","19,642,771","149,303","131,562,772 ",North America
