#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,USA,106374244,2203,1157003,10,104189225,9697,1028016,1807,317720,3456,1175265388,3510295,334805269,North America
2,India,44762496,5880,530979,14,44196318,3481,35199,,31822,377,922771410,656015,1406631776,Asia
3,France,39850030,6474,165857,,39538892,1470,145281,869,607613,2529,271490188,4139547,65584518,Europe
4,Germany,38368891,,171411,,38118100,1000,79380,,457406,2043,122332384,1458359,83883596,Europe
5,Brazil,37319254,,700556,,36249161,,369537,,173293,3253,63776166,296146,215353593,South America
6,Japan,33523927,7079,74096,15,21725273,547,11724558,56,266942,590,98711608,786015,125584838,Asia
7,S. Korea,30914055,9553,34324,2,30705135,24477,174596,132,602262,669,15804065,307892,51329899,Asia
8,Italy,25715384,,189262,,25393597,,132525,85,426721,3141,270400793,4487029,60262770,Europe
9,UK,24448729,,209396,,24231674,3905,7659,,356927,3057,522526476,7628357,68497907,Europe
10,Russia,22714988,8008,397570,36,22088256,7307,229162,,155789,2727,273400000,1875095,145805947,Europe
11,Turkey,17232066,,102174,,,,,,201399,1194,162743369,1902052,85561976,Asia
12,Spain,13798747,,120426,,13645949,,32372,231,295355,2578,471036328,10082298,46719142,Europe
13,Vietnam,11527745,44,43186,,10615079,26,869480,5,116497,436,85826548,867342,98953541,Asia
14,Australia,11352930,,19933,,11291664,,41333,45,435499,765,78835048,3024116,26068792,Australia/Oceania
15,Taiwan,10239998,,19005,,10212337,8418,8656,,428656,796,30742304,1286903,23888595,Asia
16,Argentina,10044957,,130472,,9914485,,0,363,218320,2836,35716069,776264,46010234,South America
17,Netherlands,8610372,,22992,,8578707,832,8673,53,500270,1336,25984435,1509718,17211447,Europe
18,Iran,7592255,,145391,,7342490,,104374,407,88259,1690,55353767,643478,86022837,Asia
19,Mexico,7553423,253,333594,3,6796779,1811,423050,,57413,2536,19825266,150691,131562772,North America
20,Indonesia,6751168,565,161052,2,6583430,296,6686,,24186,577,114158919,408975,279134505,Asia
21,Poland,6504078,161,119423,,5335940,,1048715,696,172340,3164,38575414,1022142,37739785,Europe
22,Colombia,6363058,,142690,,6186006,,34362,342,123524,2770,36951507,717327,51512762,South America
23,Austria,6046279,1098,22183,,6007142,1553,16954,55,666866,2447,211273524,23302116,9066710,Europe
24,Greece,5965643,,36582,,5910815,4495,18246,115,578255,3546,102228365,9909078,10316637,Europe
25,Portugal,5576583,,26450,,5544023,,6110,61,549928,2608,46052812,4541442,10140570,Europe
