<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VCB,20170103,26.1847,27.5823,26.1847,27.3984,2018750
VCB,20170104,27.5823,27.6558,27.0674,27.2145,1339740
VCB,20170105,27.1409,27.4351,27.1042,27.3248,855250
VCB,20170106,27.3616,28.2442,27.288,27.8765,2495910
VCB,20170109,28.0971,28.6488,28.0236,28.4649,2379510
VCB,20170110,28.2442,28.4281,28.2074,28.2442,1234210
VCB,20170111,28.2442,28.5017,28.1339,28.281,1498220
VCB,20170112,28.2442,28.3178,27.8029,27.8765,1863070
VCB,20170113,27.6558,28.1707,27.5455,27.5455,1164660
VCB,20170116,27.5823,27.8029,27.2513,27.4719,641920
VCB,20170117,27.5823,28.7959,27.5823,28.6488,2340000
VCB,20170118,28.5017,28.7959,28.1707,28.1707,1143460
VCB,20170119,28.2442,28.3178,27.95,27.95,521040
VCB,20170120,28.0971,28.3178,27.95,27.95,908930
VCB,20170123,28.2074,28.2074,27.9132,28.0236,717890
VCB,20170124,27.9868,28.3913,27.95,28.3913,899030
VCB,20170125,28.612,28.9062,28.2442,28.9062,1352580
VCB,20170202,29.1269,29.1269,28.612,29.0165,1368580
VCB,20170203,29.0533,29.0533,28.4649,28.4649,1546040
VCB,20170206,28.4649,28.612,28.2442,28.4649,1288900
VCB,20170207,28.5384,28.8694,28.5017,28.8694,1527190
VCB,20170208,28.9798,29.274,28.7591,29.2372,1792740
VCB,20170209,29.3107,29.3475,29.0533,29.2004,1203520
VCB,20170210,29.1636,29.1636,28.9062,28.9062,1754030
VCB,20170213,28.9062,28.9062,28.4649,28.5752,1490330
VCB,20170214,28.5752,28.7591,28.3178,28.4649,1325510
VCB,20170215,28.5752,28.9062,28.3913,28.6855,1419820
VCB,20170216,28.8326,29.0901,28.3178,28.3913,1359740
VCB,20170217,28.4649,28.5017,28.1707,28.1707,1220700
VCB,20170220,28.3178,28.3178,27.8765,27.9132,1322360
VCB,20170221,27.95,28.281,27.9132,28.2442,1076370
VCB,20170222,28.3178,28.3178,27.8029,27.8765,802090
VCB,20170223,27.8765,28.0971,27.619,27.6558,1453770
VCB,20170224,27.8029,27.8397,27.4351,27.5455,785650
VCB,20170227,27.3616,28.2074,27.3616,28.0971,902460
VCB,20170228,28.0971,28.0971,27.5087,27.5087,703780
VCB,20170301,27.5087,27.6558,27.3616,27.3616,753500
VCB,20170302,27.6558,27.7294,27.1409,27.1409,1147120
VCB,20170303,27.3616,27.6558,27.1409,27.5823,516470
VCB,20170306,27.95,27.95,27.4351,27.4351,510190
VCB,20170307,27.5823,27.5823,27.288,27.5823,561990
VCB,20170308,27.4351,28.0971,27.4351,27.7294,892080
VCB,20170309,27.9132,28.2442,27.8029,27.8029,1001970
VCB,20170310,27.8765,28.0971,27.4719,27.5823,596520
VCB,20170313,27.288,27.5087,27.2513,27.2513,885720
VCB,20170314,27.2513,27.5087,27.2513,27.2513,502570
VCB,20170315,27.3984,27.3984,27.1777,27.1777,561660
VCB,20170316,27.2145,27.3984,27.1777,27.288,574840
VCB,20170317,27.288,27.619,27.1777,27.2145,3101080
VCB,20170320,27.5087,27.8765,27.5087,27.619,1083060
VCB,20170321,27.8765,27.95,27.6558,27.95,975510
VCB,20170322,27.95,28.2074,27.6558,27.7294,1941850
VCB,20170323,27.7294,28.3178,27.6558,28.1339,1640470
VCB,20170324,28.3178,28.3546,27.7661,27.95,1411600
VCB,20170327,27.95,28.2442,27.7661,27.8029,1677100
VCB,20170328,27.8029,27.9868,27.4719,27.5087,1950220
VCB,20170329,27.3984,27.5823,27.3248,27.4351,1380040
VCB,20170330,27.4351,27.6558,27.3616,27.3616,1000760
VCB,20170331,27.3616,27.5087,27.1409,27.1409,1648790
VCB,20170403,27.1409,27.2513,26.6996,26.7732,2231080
VCB,20170404,26.8467,27.288,26.8099,27.0674,1012810
VCB,20170405,27.0674,27.4351,27.0674,27.1042,620740
VCB,20170407,26.9203,27.1409,26.9203,27.0674,746360
VCB,20170410,27.1409,27.288,26.9938,26.9938,701010
VCB,20170411,26.9938,27.2145,26.9938,27.1409,494890
VCB,20170412,27.2145,27.2145,26.9571,27.0674,925540
VCB,20170413,26.9571,27.3248,26.9571,27.0306,771230
VCB,20170414,26.9938,27.0306,26.479,26.7364,1028920
VCB,20170417,26.7364,26.8099,26.1112,26.1112,1031640
VCB,20170418,26.1112,26.3686,26.0376,26.3686,534340
VCB,20170419,26.3319,26.5525,26.2583,26.4054,571690
VCB,20170420,26.4054,26.4054,26.0376,26.0376,1002210
VCB,20170421,26.0376,26.4054,26.0376,26.1112,517030
VCB,20170424,26.1112,26.2951,25.817,25.817,450210
VCB,20170425,25.817,25.9641,25.7067,25.817,656130
VCB,20170426,25.817,25.8905,25.7434,25.7802,709260
VCB,20170427,25.8905,25.9641,25.5228,25.6331,2240170
VCB,20170428,25.5963,25.9273,25.5596,25.817,1522920
VCB,20170503,25.817,26.479,25.7802,26.1112,899880
VCB,20170504,26.1112,26.9203,26.0376,26.6996,2186490
VCB,20170505,26.6996,26.6996,26.4054,26.5525,783900
VCB,20170508,26.5525,26.6996,26.2583,26.2951,863080
VCB,20170509,26.2951,26.9203,26.2215,26.8099,1633890
VCB,20170510,26.8099,27.2145,26.8099,27.0306,1447800
VCB,20170511,27.0674,27.2145,27.0306,27.0674,1216160
VCB,20170512,27.0306,27.0674,26.7364,26.8099,898130
VCB,20170515,26.7732,26.8467,26.5893,26.6996,1127830
VCB,20170516,26.5525,26.7732,26.479,26.5157,1005430
VCB,20170517,26.479,26.7364,26.479,26.6261,1250660
VCB,20170518,26.5525,26.8835,26.5525,26.7364,1050880
VCB,20170519,26.7732,27.0306,26.6996,27.0306,1089810
VCB,20170522,27.288,28.0971,27.0306,27.5823,3432310
VCB,20170523,27.5823,27.7294,27.3616,27.3616,1332510
VCB,20170524,27.3248,27.9868,27.2513,27.7661,1579160
VCB,20170525,27.8029,27.8397,27.288,27.288,1692550
VCB,20170526,27.2513,27.3984,26.9938,26.9938,1241870
VCB,20170529,27.288,27.5087,26.7732,26.7732,1697170
VCB,20170530,26.9938,26.9938,26.6261,26.6996,1368210
VCB,20170531,26.9938,26.9938,26.3319,26.6261,1478930
VCB,20170601,26.7732,26.9571,26.6261,26.6996,972860
VCB,20170602,26.6996,26.8467,26.5525,26.6996,1088530
VCB,20170605,26.7732,27.4351,26.7364,27.3616,1909000
VCB,20170606,27.4351,28.4281,27.3616,28.4281,4750190
VCB,20170607,28.4649,28.5752,28.0971,28.1707,2419330
VCB,20170608,28.0971,28.1707,27.8029,27.8765,1634700
VCB,20170609,28.0236,28.3913,27.8765,28.2442,1972850
VCB,20170612,28.2442,28.281,27.9132,28.2074,971550
